,AAPL,AAPL,AAPL,AAPL,AAPL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,AAPL,GOOGL,MSFT,AMZN,META,AAPL,GOOGL,MSFT,AMZN,META
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,ma,ma,ma,ma,ma,rsi,rsi,rsi,rsi,rsi
1999-11-01,0.0971976443967393,0.09756027056715037,0.09412535488097838,0.09361665070103634,0.005377447800424546,,,,,,0.23693157671058224,0.23520431073192632,0.23600036660251122,0.23545554335894622,0.03550880090170666,0.016626137947454447,0.01746227254513976,0.016471238224520804,0.016953702113038996,0.05373521823043972,,,,,,,,,,,,,,,
1999-11-02,0.09429665515940937,0.09900560790888593,0.09403799956322341,0.09743388777613285,0.008623259384578155,,,,,,0.23541375751320504,0.23613231552162844,0.23545046283567045,0.23603488230271982,0.029602970874642476,0.017078240491801962,0.016963198778267418,0.01613260257023378,0.016231639752619823,0.055620915029444884,,,,,,,,,,,,,,,
1999-11-03,0.09954744567897654,0.10126033416199341,0.09941035160515396,0.09924816395250952,0.006719399419826771,,,,,,0.23599052880820837,0.23313875168387965,0.23410625362783738,0.23432735699475546,0.028037697790880202,0.01666091506625041,0.016565001623847997,0.016116348058828004,0.016062532210960316,0.04450245795470936,,,,,,,,,,,,,,,
1999-11-04,0.10018566331118912,0.10432444932647282,0.0988571012593725,0.10232517634764436,0.008081236267536259,,,,,,0.23407807661951308,0.230893578805568,0.2304707787248343,0.2335650689108428,0.03634458154064567,0.01639339876781993,0.016217242775655033,0.01503271396510953,0.015324364370383096,0.07144079082353257,,,,,,,,,,,,,,,
1999-11-05,0.10389892953497144,0.1086604613516795,0.10377811749290237,0.10913234056140962,0.00909598549388262,,,,,,0.23256025742213587,0.23125280646609786,0.23105123270094402,0.23298572996706915,0.049953571539644304,0.015740658999649555,0.01576860731500915,0.01537134961939655,0.01582900274866861,0.04593911504829645,,,,,,,,,,,,,,,
1999-11-08,0.10843897769139278,0.12218881887032434,0.10778190289000508,0.12083079334668644,0.023464268111231687,,,,,,0.21131078865885494,0.2249064511300703,0.2123239544190878,0.228046103183315,0.19832283381413646,0.015756709977555385,0.019617846474396905,0.015709985273683575,0.01933462892973716,0.14154227798139518,,,,,,,,,,,,,,,
1999-11-09,0.11804125206695486,0.11752037925651848,0.1096018053432336,0.1110337019942524,0.01965112493764512,,,,,,0.22630684232894177,0.22227211495285137,0.21864784773775703,0.22478351018416878,0.08379012763810886,0.020055696893333225,0.020430168669412527,0.017470890675976094,0.017404655557464354,0.11516546971413687,,,,,,,,,,,,,,,
1999-11-10,0.10916422500072524,0.11571370757934904,0.10977651597874355,0.11367528810705681,0.013429458808175889,,,,,,0.22135875174549208,0.2200269420745397,0.21864784773775703,0.2194474935967801,0.04928542549624796,0.017562444991961135,0.018290522626332163,0.017506108784021944,0.01772408091393231,0.0478077141430873,,,,,,,,,,,,,,,
1999-11-11,0.11400887702706623,0.11480314505405564,0.11232437941326345,0.11485093906934891,0.005143344430807229,,,,,,0.22175338473681017,0.22397844634036818,0.22417743561543396,0.2270703744359068,0.04919075723332173,0.01841582198395437,0.018290522626332163,0.017844744438308968,0.01799250558323312,0.03785145101534065,,,,,,,,,,,,,,,
1999-11-12,0.11451655014359897,0.11390703590217957,0.10868457450680644,0.11248512293535372,0.0053904033279580646,,,,,,0.22630684232894177,0.2226612782517587,0.22054196071243087,0.22575923893157698,0.03222189830714691,0.01814830568552389,0.018290522626332163,0.017690326579954087,0.018513249441676687,0.042466481334452064,,,,,,,,,,,,,,,
1999-11-15,0.11115140262829627,0.11516447938948951,0.11032976632452501,0.11077244622485415,0.004875195139997174,,,,,,0.22175338473681017,0.21817093249513542,0.22017535820120365,0.21908159531650198,0.030227883938760233,0.018651236326573194,0.01855598739594511,0.018367597888528132,0.018126717917883523,0.024998026902436687,,,,,,,,,,,,,,,
1999-11-16,0.11170259058338895,0.11354570156674568,0.11032976632452501,0.11331243287178148,0.004174391487835168,,,,,,0.21777669843968184,0.2159257596168238,0.21690648580942784,0.22002683254055375,0.04055321808867853,0.01828206383473913,0.019519624509640114,0.018486797638837166,0.019586948118879916,0.06459945943988343,,,,,,,,,,,,,,,
1999-11-17,0.11270343187026775,0.11788171359195238,0.11251364926839921,0.11194809718714623,0.0076907626935027425,,,,,,0.21625887924230464,0.21386020056877708,0.2142486176030306,0.21298329064520063,0.0470926761282526,0.01926919897594761,0.019617846474396905,0.01894463304343322,0.018931991925785947,0.025988793867697813,,,,,,,,,,,,,,,
1999-11-18,0.1132401148791738,0.11263513904145228,0.11024241100677004,0.1110337019942524,0.00769648722892453,,,,,,0.21170542165017303,0.21011824577159105,0.21272110713958392,0.21280034150506158,0.04510549701350681,0.018950854580815336,0.019137355241397466,0.018893160423981592,0.019318523449579107,0.022177805586243812,,,,,,0.1108470014177251,,0.22743435053224492,0.01783166778643615,,,,,,
1999-11-19,0.11097734327405646,0.11516447938948951,0.10968916066098858,0.11512670904815815,0.0062903605545306844,,,,,,0.21018760245279583,0.2123634186499027,0.2123239544190878,0.2160324429808513,0.03975075931123884,0.01925314799804178,0.01912142735522069,0.019112596327959586,0.019318523449579107,0.02195373567311936,,,,,,0.11242343348180017,,0.22601784749354575,0.018004286669609612,,0.7142475107149859,,0.27139416634230074,0.6162246319626309,
1999-11-22,0.11424095616605263,0.11354570156674568,0.1114217077964621,0.11248512293535372,0.003327160245410592,,,,,,0.22591220933762368,0.2237688968717258,0.2247578895915437,0.22764971337968046,0.06740841699968593,0.01925314799804178,0.020281508398429276,0.019096341816553807,0.020005690602989176,0.044215846439327286,,,,,,0.11352651043891612,,0.22540632734340083,0.018279771516081667,,0.6559484282707453,,0.4188542347785276,0.6796787730220922,
1999-11-23,0.11424095616605263,0.11860438226282016,0.11032976632452501,0.11566373479636564,0.012499071156466396,,,,,,0.22478902313156457,0.2267624607094746,0.22454403812666118,0.2270703744359068,0.05048330369681276,0.019921938744117983,0.021112413127317806,0.01916406894741121,0.020341221439615184,0.07851969030784375,,,,,,0.11472957701413128,,0.2248770844498209,0.018592092174173038,,0.6651927031876691,,0.42791905647963013,0.6995598449595397,
1999-11-24,0.11605407443938383,0.11824304792738627,0.11497415738516414,0.11839240616563616,0.003670029788041875,,,,,,0.22573007103393844,0.22939679688669357,0.22799621177405066,0.23338211977070375,0.035944377439971954,0.02095722681904395,0.02167519843889726,0.02106042861141854,0.021817557120769625,0.06119971593874219,,,,,,0.11590711432515091,,0.22486374219199956,0.019066059346019352,,0.6628771522148609,,0.4950954350515725,0.7803385399433937,
1999-11-26,0.11859244002204754,0.11896571659825406,0.11851204775424037,0.11892943191384366,0.001436255808192728,,,,,,0.23198348612713254,0.23274958838497228,0.2325787431643907,0.23164410293938284,0.014364798170339305,0.022779012811355533,0.023634328438640818,0.023024515406283273,0.023395894176258373,0.04775957060753646,,,,,,0.11662512488065069,,0.22476589896797639,0.019618400585140784,,0.6153760884915064,,0.485359837880348,0.7999594955046792,
1999-11-29,0.11786719271271505,0.12510840030063017,0.11724539564679332,0.11820372144329301,0.010369845270899371,,,,,,0.22743002853500094,0.22882801975752132,0.22799621177405066,0.2288083912672277,0.03397001442580281,0.02396678517638687,0.024098891785463476,0.022924279252614314,0.0226738318158392,0.0772652587460145,,,,,,0.11643259167984257,,0.22482149170889865,0.01986214393436642,,0.4724645218694096,,0.5033223141157159,0.6714284026879846,
1999-11-30,0.12348060688694847,0.1308897496675724,0.1232437941326345,0.12300792475833842,0.02056584543977919,,,,,,0.22630684232894177,0.23125280646609786,0.22817951302966427,0.2314306622758873,0.04480850524281043,0.022032642338734486,0.02197517362855989,0.02121213738453913,0.02122970709500086,0.056621130725982335,,,,,,0.11731016013656456,,0.22530626040974078,0.02014135154903405,,0.7047087351447433,,0.5553389214929256,0.7035695678799361,
1999-12-01,0.12765803138870357,0.1319737526738741,0.12716022421198223,0.13054079944265437,0.014523447656413311,,,,,,0.23028352862607004,0.23445591977248909,0.23218159044389458,0.2379558482741798,0.03175197461933618,0.021759775714335395,0.0216433426665437,0.02071366570142863,0.021213601614842807,0.044014273505432196,,,,,,0.11854620201136562,,0.22665605215933327,0.020396067267678203,,0.7474297886268296,,0.6567536627703653,0.6920158515235393,
1999-12-02,0.13073307998027328,0.14081921720529572,0.12962073232874718,0.1408894307527069,0.013145943659128405,,,,,,0.2363548054155789,0.2383774883999401,0.23829163229768124,0.24289547505793388,0.03739926117743396,0.021425380341297293,0.022620253018719356,0.02170519089718103,0.022303405772204087,0.03895290311841023,,,,,,0.12045451450998279,,0.2278101574608794,0.020710739147787822,,0.8027760181289201,,0.6400384923807476,0.7176077249520664,
1999-12-03,0.1438890661715645,0.1479591836734694,0.14435466259008517,0.14787076547940434,0.01531313225328202,,,,,,0.24470281100115354,0.24397545277653043,0.24702899214859625,0.24688986461763632,0.04477005694108046,0.023164236281095426,0.023169765091818156,0.02182168156225577,0.02163234409895207,0.046208178919879626,,,,,,0.12304786226451384,,0.2293511882392445,0.020938415813222058,,0.8713552242631653,,0.6794347590912667,0.6583134112694874,
1999-12-06,0.14732673841780047,0.15048852402150664,0.14372861614617455,0.14932218642050568,0.010440347443988758,,,,,,0.24300285350009104,0.24418500224517287,0.24403507164024074,0.2448164410293938,0.03195190578833202,0.021660794683916115,0.022240638398172835,0.02145053688515719,0.02185245232777873,0.03742535822873652,,,,,,0.12587310083548772,,0.23122799917278003,0.021210373826666736,,0.9057841554186344,,0.7380148362766005,0.6897763279978022,
1999-12-07,0.15022772765513043,0.15148580678730417,0.14745577637038654,0.1519492583238991,0.009854938374276472,,,,,,0.24148503430271384,0.23723993414159555,0.23829163229768124,0.23737650933040613,0.03858295622669392,0.021960412938158258,0.021741564631300492,0.02136655524289401,0.021498131764301664,0.026302401758155125,,,,,,0.1287047217225105,,0.23249328995617075,0.021349879666416455,,0.9059866552073648,,0.6420913856451654,0.6130592457764725,
1999-12-08,0.14977807432334428,0.15129791293287856,0.1409041275387639,0.14070074603036373,0.008976071541363068,,,,,,0.23653694371926415,0.2355635383924562,0.2346867076039471,0.2335650689108428,0.024994984632641007,0.021642068543025982,0.023068888479365238,0.022008608443422204,0.02201887562274523,0.05392914219139683,,,,,,0.13081194973798463,,0.2339942939610718,0.021575205109832435,,0.7557725488026188,,0.6788122976139267,0.6784272931656236,
1999-12-09,0.14216297757535318,0.14136844539515525,0.1283395210016743,0.1337194113036663,0.0208891310454412,,,,,,0.2331370287171392,0.23256997455470735,0.23392295237222377,0.23661422124649348,0.029525390745818454,0.02389990610177925,0.02837818387162421,0.023820986465166352,0.026206300463837824,0.18215022536956363,,,,,,0.13247454306871967,,0.23573101118748319,0.022077974751402357,,0.6858949217882161,,0.6974758365006514,0.7780821274878076,
1999-12-10,0.13390966319514958,0.13883910504711802,0.12561694693164446,0.13045371418618829,0.015039861009726155,,,,,,0.23729585331795278,0.23499476126328395,0.23639751932300734,0.24002927186242226,0.021474999888927128,0.028220294321431534,0.028112719102011262,0.026790143881954973,0.02703841693867033,0.06320599654641673,,,,,,0.13359783069332373,,0.23748107067171603,0.022641484295110495,,0.630171050581022,,0.6984111822343527,0.792748382064278,
1999-12-13,0.12967421890864783,0.12908307799040297,0.1255295916138895,0.12464803042178295,0.012139931881583719,,,,,,0.2380244065326938,0.24343661128573563,0.23792502978645402,0.24841444078546163,0.035022130842475775,0.026936216088965216,0.026679209346101337,0.02600450916400908,0.025911033327606938,0.03497093779481307,,,,,,0.13448922750148493,,0.23899541693443838,0.023072541665123677,,0.6008018452659142,,0.6810138174685262,0.7199107862897531,
1999-12-14,0.12384323054161471,0.12510840030063017,0.11942927859066754,0.11865366193503442,0.009608783351139603,,,,,,0.2458563535911602,0.2559497081275258,0.24574588335930103,0.25472618612025855,0.1131359220945131,0.02618717045335987,0.025989000945107674,0.024243603761716557,0.02406695584951039,0.041513959233880855,,,,,,0.13470835368583006,,0.24101232157509805,0.02334449967856836,,0.531003174665483,,0.7200109648894085,0.6302696877789442,
1999-12-15,0.11641669809405007,0.12149505694629129,0.11405692654873698,0.12174518853958026,0.014642156443580908,,,,,,0.2530508165867282,0.27879060020954943,0.2554914001160908,0.28445542139285274,0.12292349266423493,0.023265892474499006,0.024778481595672627,0.023159969667998083,0.024300485311802095,0.04162914376753519,,,,,,0.1349540728537122,,0.24473703521688955,0.023525739709142082,,0.5334979950539013,,0.797940696363975,0.5970290239494755,
1999-12-16,0.12330654753270866,0.12311383476903512,0.11833733711873043,0.12364654997242301,0.010360806530759707,,,,,,0.2855017910266529,0.2975003741954797,0.28738581859285733,0.30046347115501887,0.09993021206032658,0.024702454997070696,0.02459531090463969,0.02383724097657213,0.023865637347534784,0.02755008422621557,,,,,,0.13529978163969356,,0.24975594786735128,0.023560028363574945,,0.5426558421890014,,0.8453452668347963,0.5283153031594169,
1999-12-17,0.1274694670882771,0.12836040931953518,0.12488898595035305,0.12609945136288425,0.011199601615720596,,,,,,0.30787444599599295,0.30384672953150726,0.3016833165307183,0.30522014879863396,0.08048271928262647,0.024418887720734386,0.02429799036267319,0.023921222618835312,0.023645529118708125,0.022832467681818257,,,,,,0.13587844496145932,,0.25532856421739875,0.02363095689445893,,0.5637535172651446,,0.8765965949361366,0.5486409945246519,
1999-12-20,0.12556931913782599,0.12492050644620456,0.12215185266069739,0.1231966094806816,0.005522971516673148,,,,,,0.3023799405014875,0.2975003741954797,0.2942596156783674,0.2975972679595072,0.023694577627462958,0.024568696847855453,0.025351885498036596,0.024259858273122336,0.024434697646452497,0.043577832108382564,,,,,,0.13589227331289858,,0.26015401412945105,0.023864903485275174,,0.5107650045170912,,0.8104322593321457,0.6426287414677057,
